AIRPORT,TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS,TYPE
AAP,8:15:00 AM,ID6672,Jakarta (CGK),Batik Air ,B738 (PK-LDK) ,Landed 8:07 AM,Arrival
AAP,9:25:00 AM,IU640,Surabaya (SUB),Super Air Jet ,A320 (PK-SJV) ,Landed 10:00 AM,Arrival
AAP,10:05:00 AM,QG460,Surabaya (SUB),Citilink ,A320 (PK-GQH) ,Landed 10:13 AM,Arrival
AAP,10:10:00 AM,IU533,Makassar (UPG),Super Air Jet ,A320 (PK-SGC) ,Landed 9:44 AM,Arrival
AAP,11:30:00 AM,IW1485,Kalimarau (BEJ),Wings Air ,AT76 (PK-WJG) ,Landed 11:17 AM,Arrival
AAP,11:35:00 AM,JT314,Surabaya (SUB),Lion Air ,B738 (PK-LJV) ,Landed 11:43 AM,Arrival
AAP,12:50:00 PM,IU658,Yogyakarta (YIA),Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Landed 12:37 PM,Arrival
AAP,1:10:00 PM,ID6256,Jakarta (CGK),Batik Air ,A320 (PK-LZH) ,Landed 1:35 PM,Arrival
AAP,3:10:00 PM,QG422,Jakarta (CGK),Citilink ,A320 (PK-GQA) ,Landed 3:34 PM,Arrival
AAP,8:55:00 AM,ID6673,Jakarta (CGK),Batik Air ,B738 (PK-LDK) ,Departed 9:00 AM,Departure
AAP,9:25:00 AM,IU641,Surabaya (SUB),Super Air Jet ,A320 (PK-SJV) ,Departed 10:48 AM,Departure
AAP,10:40:00 AM,QG461,Surabaya (SUB),Citilink ,A320 (PK-GQH) ,Departed 10:53 AM,Departure
AAP,10:50:00 AM,IU532,Makassar (UPG),Super Air Jet ,A320 (PK-SGC) ,Departed 10:39 AM,Departure
AAP,11:50:00 AM,IW1484,Kalimarau (BEJ),Wings Air ,AT76 (PK-WJG) ,Departed 12:12 PM,Departure
AAP,12:20:00 PM,JT317,Surabaya (SUB),Lion Air ,B738 (PK-LJV) ,Departed 12:39 PM,Departure
AAP,1:30:00 PM,IU659,Yogyakarta (YIA),Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Departed 1:37 PM,Departure
AAP,1:50:00 PM,ID6257,Jakarta (CGK),Batik Air ,A320 (PK-LZH) ,Departed 2:24 PM,Departure
AAP,3:40:00 PM,QG423,Jakarta (CGK),Citilink ,A320 (PK-GQA) ,Departed 4:23 PM,Departure
ABU,12:25:00 PM,IW1955,Kupang (KOE),Wings Air ,AT76 (PK-WGU) ,Landed 12:16 PM,Arrival
ABU,12:50:00 PM,IW1954,Kupang (KOE),Wings Air ,AT76 (PK-WGU) ,Estimated dep. 12:46 PM,Departure
AMQ,6:55:00 AM,ID6170,Jakarta (CGK),Batik Air ,B738 (PK-LZZ) ,Landed 6:38 AM,Arrival
AMQ,6:55:00 AM,JT888,Makassar (UPG),Lion Air ,B738 (PK-LJW) ,Landed 6:45 AM,Arrival
AMQ,6:55:00 AM,JT1800,Makassar (UPG),Lion Air ,739,Unknown,Arrival
AMQ,7:00:00 AM,JT880,Makassar (UPG),Lion Air ,738,Unknown,Arrival
AMQ,7:15:00 AM,QG210,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Landed 7:05 AM,Arrival
AMQ,8:45:00 AM,JT880,Makassar (UPG),Lion Air ,738,Unknown,Arrival
AMQ,9:10:00 AM,IL432,Namrole-Buru Island (NRE),Trigana Air ,AT4 ,Unknown,Arrival
AMQ,9:20:00 AM,SJ694,Ternate (TTE),Sriwijaya Air ,738,Unknown,Arrival
AMQ,11:00:00 AM,JT898,Makassar (UPG),Lion Air ,739,Unknown,Arrival
AMQ,11:00:00 AM,JT786,Makassar (UPG),Lion Air ,B738 (PK-LJS) ,Landed 11:11 AM,Arrival
AMQ,11:10:00 AM,IW1515,Saumlaki (SXK),Wings Air ,AT76 (PK-WHV) ,Landed 11:22 AM,Arrival
AMQ,11:20:00 AM,SJ663,Langgur (LUV),Sriwijaya Air ,738,Unknown,Arrival
