airline,airline ID,source airport,source airport id,destination airport,destination airport id,codeshare,stops,equipment
5J,1683,CGK,3275,MNL,2397,,0,320
5J,1683,DPS,3940,MNL,2397,,0,320
AA,24,LSE,4044,ORD,3830,Y,0,ER4 ERD
AF,137,CGK,3275,KUL,3304,Y,0,77W
AK,576,BDO,3896,KUL,3304,,0,320
AK,576,BPN,3919,KUL,3304,,0,320
AK,576,BTJ,3294,KUL,3304,,0,320
AK,576,CGK,3275,BKI,3269,,0,320
AK,576,CGK,3275,KUL,3304,,0,320
AK,576,DPS,3940,KUL,3304,,0,320
AK,576,JOG,3898,KUL,3304,,0,320
AK,576,PDG,8807,KUL,3304,,0,320
AK,576,PKU,3273,KUL,3304,,0,320
AK,576,PLM,3289,KUL,3304,,0,320
AK,576,SOC,3929,KUL,3304,,0,320
AK,576,SRG,3901,KUL,3304,,0,320
AK,576,SUB,3928,KUL,3304,,0,320
AK,576,UPG,3240,KUL,3304,,0,320
AZ,596,CGK,3275,AUH,2179,,0,77W 332
BI,4255,CGK,3275,BWN,3272,,0,319
BI,4255,SUB,3928,BWN,3272,,0,320
BR,2091,CGK,3275,TPE,2276,,0,332
BR,2091,DPS,3940,TPE,2276,,0,332
BR,2091,SUB,3928,TPE,2276,,0,332
CA,751,CGK,3275,XMN,3383,,0,738
CI,1756,CGK,3275,HKG,3077,,0,333
CI,1756,CGK,3275,TPE,2276,,0,343
CI,1756,DPS,3940,TPE,2276,,0,333
CI,1756,SUB,3928,SIN,3316,,0,333
CX,1680,CGK,3275,HKG,3077,,0,333 773 343
CX,1680,DPS,3940,HKG,3077,,0,773 744
CX,1680,SUB,3928,HKG,3077,,0,333 772
CZ,1767,CGK,3275,CAN,3370,,0,738
CZ,1767,CGK,3275,FOC,3385,Y,0,738
CZ,1767,CGK,3275,XMN,3383,,0,738
CZ,1767,DPS,3940,CAN,3370,,0,738
CZ,1767,DPS,3940,SZX,3374,,0,320
DL,2009,LSE,4044,MSP,3858,Y,0,CRJ
EK,2183,CGK,3275,DXB,2188,,0,77W
EY,2222,CGK,3275,AUH,2179,,0,77W 332
EY,2222,CGK,3275,HKG,3077,Y,0,330
EY,2222,CGK,3275,PER,3351,Y,0,737
FD,4947,DPS,3940,DMK,3157,,0,320
FY,2353,BTH,3903,SZB,3408,,0,AT7
FY,2353,BTJ,3294,PEN,3308,,0,AT7
FY,2353,PKU,3273,SZB,3408,,0,AT7
GA,2520,AMQ,3256,CGK,3275,,0,738
GA,2520,AMQ,3256,SUB,3928,,0,CRK
GA,2520,AMQ,3256,UPG,3240,,0,738
GA,2520,BDJ,3908,CGK,3275,,0,738
GA,2520,BDJ,3908,SUB,3928,,0,CRK
GA,2520,BDO,3896,DPS,3940,,0,738
GA,2520,BDO,3896,SIN,3316,Y,0,319
GA,2520,BDO,3896,SUB,3928,,0,738
GA,2520,BEJ,6209,BPN,3919,,0,CRK
GA,2520,BIK,3241,DJJ,3244,,0,738
GA,2520,BIK,3241,UPG,3240,,0,738
GA,2520,BKS,3288,CGK,3275,,0,CRK 735
GA,2520,BMU,3924,DPS,3940,,0,AT7
GA,2520,BMU,3924,LOP,8401,,0,AT7
GA,2520,BPN,3919,BEJ,6209,,0,CRK
GA,2520,BPN,3919,CGK,3275,,0,738 332
GA,2520,BPN,3919,JOG,3898,,0,CRK
GA,2520,BPN,3919,MDC,3250,,0,CRK
GA,2520,BPN,3919,SIN,3316,,0,738
GA,2520,BPN,3919,SUB,3928,,0,738 CRK
GA,2520,BPN,3919,TRK,3920,,0,CRK
GA,2520,BPN,3919,UPG,3240,,0,738
GA,2520,BTH,3903,CGK,3275,,0,738
GA,2520,BTH,3903,TKG,6223,,0,CRK
GA,2520,BTJ,3294,CGK,3275,,0,738
GA,2520,CGK,3275,AMQ,3256,,0,738
GA,2520,CGK,3275,AUH,2179,,0,332
GA,2520,CGK,3275,BDJ,3908,,0,738
GA,2520,CGK,3275,BKK,3885,,0,738
GA,2520,CGK,3275,BKS,3288,,0,CRK 735
GA,2520,CGK,3275,BPN,3919,,0,738 332
GA,2520,CGK,3275,BTH,3903,,0,738
GA,2520,CGK,3275,BTJ,3294,,0,738
GA,2520,CGK,3275,BWN,3272,Y,0,319
GA,2520,CGK,3275,CAN,3370,,0,332
GA,2520,CGK,3275,DJB,3287,,0,738
GA,2520,CGK,3275,DJJ,3244,,0,738
GA,2520,CGK,3275,DPS,3940,,0,738 332 777 333
GA,2520,CGK,3275,HKG,3077,,0,332 333
GA,2520,CGK,3275,HND,2359,,0,788
GA,2520,CGK,3275,ICN,3930,,0,333 332
GA,2520,CGK,3275,JED,2072,,0,777
GA,2520,CGK,3275,JOG,3898,,0,738
GA,2520,CGK,3275,KIX,3992,,0,332
GA,2520,CGK,3275,KUL,3304,,0,738
GA,2520,CGK,3275,LOP,8401,,0,738
GA,2520,CGK,3275,MDC,3250,,0,738
GA,2520,CGK,3275,MEL,3339,,0,332
GA,2520,CGK,3275,MLG,3894,,0,738
GA,2520,CGK,3275,MNL,2397,Y,0,319 320
GA,2520,CGK,3275,NRT,2279,,0,763 777
GA,2520,CGK,3275,PDG,8807,,0,738
GA,2520,CGK,3275,PEK,3364,,0,333
GA,2520,CGK,3275,PER,3351,,0,738
GA,2520,CGK,3275,PGK,3905,,0,738
GA,2520,CGK,3275,PKU,3273,,0,738
GA,2520,CGK,3275,PKY,3911,,0,738
GA,2520,CGK,3275,PLM,3289,,0,738
GA,2520,CGK,3275,PLW,3249,,0,738
GA,2520,CGK,3275,PNK,3284,,0,738 735 CRK
GA,2520,CGK,3275,PVG,3406,,0,777
GA,2520,CGK,3275,SIN,3316,,0,738 332 333
GA,2520,CGK,3275,SOC,3929,,0,738
GA,2520,CGK,3275,SRG,3901,,0,738
GA,2520,CGK,3275,SUB,3928,,0,738 332
GA,2520,CGK,3275,SYD,3361,,0,332
GA,2520,CGK,3275,TJQ,3904,,0,735 CRK
GA,2520,CGK,3275,TKG,6223,,0,738
GA,2520,CGK,3275,TNJ,3906,,0,CRK
GA,2520,CGK,3275,TPE,2276,,0,738
GA,2520,CGK,3275,TTE,3253,,0,735 CRK
GA,2520,CGK,3275,UPG,3240,,0,738 332
GA,2520,DJB,3287,CGK,3275,,0,738
GA,2520,DJJ,3244,BIK,3241,,0,738
GA,2520,DJJ,3244,CGK,3275,,0,738
GA,2520,DJJ,3244,MKQ,3246,,0,738
GA,2520,DJJ,3244,MKW,3260,,0,CRK
GA,2520,DJJ,3244,TIM,3243,,0,738
GA,2520,DJJ,3244,UPG,3240,,0,738
GA,2520,DPS,3940,BDO,3896,,0,738
GA,2520,DPS,3940,BMU,3924,,0,AT7
GA,2520,DPS,3940,BNE,3320,,0,738
GA,2520,DPS,3940,CGK,3275,,0,738 333 332 777
GA,2520,DPS,3940,HKG,3077,,0,738
GA,2520,DPS,3940,HND,2359,,0,332
GA,2520,DPS,3940,ICN,3930,,0,333 332
GA,2520,DPS,3940,JOG,3898,,0,738
GA,2520,DPS,3940,KIX,3992,,0,333
GA,2520,DPS,3940,KOE,3916,,0,738 CRK
GA,2520,DPS,3940,LBJ,3917,,0,AT7
GA,2520,DPS,3940,LOP,8401,,0,AT7 738
GA,2520,DPS,3940,MEL,3339,,0,333
GA,2520,DPS,3940,NRT,2279,,0,333
GA,2520,DPS,3940,PER,3351,,0,738
GA,2520,DPS,3940,PLM,3289,,0,CRK
GA,2520,DPS,3940,SIN,3316,,0,738 772
GA,2520,DPS,3940,SRG,3901,,0,CRK
GA,2520,DPS,3940,SUB,3928,,0,CRK 738
GA,2520,DPS,3940,SYD,3361,,0,332
GA,2520,DPS,3940,TIM,3243,,0,738
GA,2520,DPS,3940,TMC,6204,,0,AT7
GA,2520,DPS,3940,TPE,2276,Y,0,333
GA,2520,DPS,3940,UPG,3240,,0,CRK 738
GA,2520,ENE,3914,KOE,3916,,0,AT7
GA,2520,ENE,3914,LBJ,3917,,0,AT7
GA,2520,GTO,3247,UPG,3240,,0,738
GA,2520,JOG,3898,BPN,3919,,0,CRK
GA,2520,JOG,3898,CGK,3275,,0,738
GA,2520,JOG,3898,DPS,3940,,0,738
GA,2520,JOG,3898,SIN,3316,,0,319
