AIRPORT;TIME;FLIGHT;TO/FROM;AIRLINE;AIRCRAFT;STATUS;TYPE
AMQ;6:55:00 AM;ID6170;CGK;Batik Air ;B738 (PK-LZZ) ;Landed 6:38 AM;Arrival
AMQ;6:55:00 AM;JT888;UPG;Lion Air ;B738 (PK-LJW) ;Landed 6:45 AM;Arrival
AMQ;6:55:00 AM;JT1800;UPG;Lion Air ;739;Unknown;Arrival
AMQ;7:00:00 AM;JT880;UPG;Lion Air ;738;Unknown;Arrival
AMQ;7:15:00 AM;QG210;CGK;Citilink ;A320 (PK-GLP) ;Landed 7:05 AM;Arrival
AMQ;8:45:00 AM;JT880;UPG;Lion Air ;738;Unknown;Arrival
AMQ;9:10:00 AM;IL432;NRE;Trigana Air ;AT4 ;Unknown;Arrival
AMQ;9:20:00 AM;SJ694;TTE;Sriwijaya Air ;738;Unknown;Arrival
AMQ;11:00:00 AM;JT898;UPG;Lion Air ;739;Unknown;Arrival
AMQ;11:00:00 AM;JT786;UPG;Lion Air ;B738 (PK-LJS) ;Landed 11:11 AM;Arrival
AMQ;11:10:00 AM;IW1515;SXK;Wings Air ;AT76 (PK-WHV) ;Landed 11:22 AM;Arrival
AMQ;11:20:00 AM;SJ663;LUV;Sriwijaya Air ;738;Unknown;Arrival
AMQ;12:00:00 PM;SJ662;UPG;Sriwijaya Air ;738;Unknown;Arrival
AMQ;12:25:00 PM;IW1531;LUV;Wings Air ;AT76 (PK-WHJ) ;Landed 12:53 PM;Arrival
AMQ;12:40:00 PM;JT881;LUV;Lion Air ;B738 (PK-LJW) ;Landed 12:38 PM;Arrival
AMQ;1:20:00 PM;IL430;JIO;Trigana Air ;AT4 ;Unknown;Arrival
AMQ;2:25:00 PM;JT878;SUB;Lion Air ;738;Canceled;Arrival
AMQ;3:20:00 PM;IW1505;SOQ;Wings Air ;AT7 ;Canceled;Arrival
AMQ;3:35:00 PM;GA646;CGK;Garuda Indonesia ;B738 (PK-GFS) ;Landed 3:30 PM;Arrival
AMQ;7:25:00 AM;IW1514;SXK;Wings Air ;AT76 (PK-WHV) ;Departed 7:44 AM;Departure
AMQ;7:35:00 AM;IW1530;DOB;Wings Air ;AT76 (PK-WHJ) ;Departed 7:48 AM;Departure
AMQ;7:40:00 AM;JT791;UPG;Lion Air ;739;Unknown;Departure
AMQ;7:50:00 AM;ID6171;CGK;Batik Air ;B738 (PK-LZZ) ;Departed 8:06 AM;Departure
AMQ;7:55:00 AM;QG211;CGK;Citilink ;A320 (PK-GLP) ;Departed 8:02 AM;Departure
AMQ;8:00:00 AM;IL431;NRE;Trigana Air ;AT4 ;Unknown;Departure
AMQ;9:30:00 AM;JT880;LUV;Lion Air ;B738 (PK-LJW) ;Departed 9:33 AM;Departure
AMQ;10:05:00 AM;SJ695;TTE;Sriwijaya Air ;738;Unknown;Departure
AMQ;10:30:00 AM;IL429;JIO;Trigana Air ;AT4 ;Unknown;Departure
AMQ;11:40:00 AM;JT787;UPG;Lion Air ;B738 (PK-LJS) ;Departed 12:19 PM;Departure
AMQ;12:40:00 PM;SJ663;UPG;Sriwijaya Air ;738;Unknown;Departure
AMQ;1:20:00 PM;JT881;UPG;Lion Air ;B738 (PK-LJW) ;Departed 1:42 PM;Departure
AMQ;1:20:00 PM;JT3881;UPG;Lion Air ;738;Estimated dep. 1:42 PM;Departure
AMQ;3:30:00 PM;JT879;SUB;Lion Air ;738;Canceled;Departure
AMQ;3:40:00 PM;IW1506;SOQ;Wings Air ;AT7 ;Canceled;Departure
